pruid,reporting_pt_en,reporting_pt_fr,date,num_confirmedcases_delta,num_confirmedcases_cumulative,num_hosp,num_icu,num_deaths,shaded
24,Quebec,Québec,2022-07-02,7,268,,,,
1,Canada,Canada,2022-07-02,20,516,,,,
48,Alberta,Alberta,2022-07-03,2,11,,,,
59,British Columbia,Colombie-Britannique,2022-07-03,3,31,,,,
35,Ontario,Ontario,2022-07-03,15,225,,,,
24,Quebec,Québec,2022-07-03,4,272,,,,
1,Canada,Canada,2022-07-03,24,540,,,,
59,British Columbia,Colombie-Britannique,2022-07-04,1,32,,,,
35,Ontario,Ontario,2022-07-04,14,239,,,,
24,Quebec,Québec,2022-07-04,8,280,,,,
1,Canada,Canada,2022-07-04,23,563,,,,
59,British Columbia,Colombie-Britannique,2022-07-05,2,34,,,,
35,Ontario,Ontario,2022-07-05,7,246,,,,
24,Quebec,Québec,2022-07-05,2,282,,,,
47,Saskatchewan,Saskatchewan,2022-07-05,1,2,,,,
60,Yukon,Yukon,2022-07-05,1,1,,,,
1,Canada,Canada,2022-07-05,13,576,,,,
35,Ontario,Ontario,2022-07-06,4,250,,,,
24,Quebec,Québec,2022-07-06,5,287,,,,
1,Canada,Canada,2022-07-06,9,585,,,,
59,British Columbia,Colombie-Britannique,2022-07-07,2,36,,,,
35,Ontario,Ontario,2022-07-07,12,262,,,,
24,Quebec,Québec,2022-07-07,4,291,,,,
1,Canada,Canada,2022-07-07,18,603,,,,
59,British Columbia,Colombie-Britannique,2022-07-08,1,37,,,,
35,Ontario,Ontario,2022-07-08,11,273,,,,
24,Quebec,Québec,2022-07-08,4,295,,,,
1,Canada,Canada,2022-07-08,16,619,,,,
59,British Columbia,Colombie-Britannique,2022-07-09,3,40,,,,
35,Ontario,Ontario,2022-07-09,12,285,,,,
24,Quebec,Québec,2022-07-09,4,299,,,,
1,Canada,Canada,2022-07-09,19,638,,,,
59,British Columbia,Colombie-Britannique,2022-07-10,2,42,,,,
35,Ontario,Ontario,2022-07-10,12,297,,,,
24,Quebec,Québec,2022-07-10,5,304,,,,
1,Canada,Canada,2022-07-10,19,657,,,,
59,British Columbia,Colombie-Britannique,2022-07-11,3,45,,,,
35,Ontario,Ontario,2022-07-11,14,311,,,,
24,Quebec,Québec,2022-07-11,6,310,,,,
1,Canada,Canada,2022-07-11,23,680,,,,
48,Alberta,Alberta,2022-07-12,1,12,,,,
59,British Columbia,Colombie-Britannique,2022-07-12,8,53,,,,
35,Ontario,Ontario,2022-07-12,9,320,,,,
24,Quebec,Québec,2022-07-12,3,313,,,,
1,Canada,Canada,2022-07-12,21,701,,,,
59,British Columbia,Colombie-Britannique,2022-07-13,2,55,,,,
35,Ontario,Ontario,2022-07-13,14,334,,,,
24,Quebec,Québec,2022-07-13,4,317,,,,
1,Canada,Canada,2022-07-13,20,721,,,,
59,British Columbia,Colombie-Britannique,2022-07-14,1,56,,,,
35,Ontario,Ontario,2022-07-14,7,341,,,,
24,Quebec,Québec,2022-07-14,3,320,,,,
1,Canada,Canada,2022-07-14,11,732,,,,
59,British Columbia,Colombie-Britannique,2022-07-15,2,58,,,,
35,Ontario,Ontario,2022-07-15,17,358,,,,
24,Quebec,Québec,2022-07-15,4,324,,,,
1,Canada,Canada,2022-07-15,23,755,,,,
59,British Columbia,Colombie-Britannique,2022-07-16,2,60,,,,
35,Ontario,Ontario,2022-07-16,8,366,,,,
24,Quebec,Québec,2022-07-16,4,328,,,,
1,Canada,Canada,2022-07-16,14,769,,,,
48,Alberta,Alberta,2022-07-17,1,13,,,,
59,British Columbia,Colombie-Britannique,2022-07-17,2,62,,,,
35,Ontario,Ontario,2022-07-17,9,375,,,,
24,Quebec,Québec,2022-07-17,2,330,,,,
1,Canada,Canada,2022-07-17,14,783,,,,
59,British Columbia,Colombie-Britannique,2022-07-18,3,65,,,,
35,Ontario,Ontario,2022-07-18,22,397,,,,
24,Quebec,Québec,2022-07-18,3,333,,,,
1,Canada,Canada,2022-07-18,28,811,,,,
59,British Columbia,Colombie-Britannique,2022-07-19,4,69,,,,
35,Ontario,Ontario,2022-07-19,9,406,,,,
24,Quebec,Québec,2022-07-19,7,340,,,,
1,Canada,Canada,2022-07-19,20,831,,,,
59,British Columbia,Colombie-Britannique,2022-07-20,2,71,,,,
35,Ontario,Ontario,2022-07-20,8,414,,,,
24,Quebec,Québec,2022-07-20,7,347,,,,
47,Saskatchewan,Saskatchewan,2022-07-20,1,3,,,,
1,Canada,Canada,2022-07-20,18,849,,,,
48,Alberta,Alberta,2022-07-21,1,14,,,,
59,British Columbia,Colombie-Britannique,2022-07-21,2,73,,,,
35,Ontario,Ontario,2022-07-21,13,427,,,,
24,Quebec,Québec,2022-07-21,4,351,,,,
1,Canada,Canada,2022-07-21,20,869,,,,
59,British Columbia,Colombie-Britannique,2022-07-22,3,76,,,,
35,Ontario,Ontario,2022-07-22,4,431,,,,
24,Quebec,Québec,2022-07-22,5,356,,,,
1,Canada,Canada,2022-07-22,12,881,,,,
48,Alberta,Alberta,2022-07-23,1,15,,,,
59,British Columbia,Colombie-Britannique,2022-07-23,1,77,,,,
35,Ontario,Ontario,2022-07-23,17,448,,,,
24,Quebec,Québec,2022-07-23,2,358,,,,
1,Canada,Canada,2022-07-23,21,902,,,,
59,British Columbia,Colombie-Britannique,2022-07-24,1,78,,,,
35,Ontario,Ontario,2022-07-24,3,451,,,,
24,Quebec,Québec,2022-07-24,2,360,,,,
60,Yukon,Yukon,2022-07-24,1,2,,,,
1,Canada,Canada,2022-07-24,7,909,,,,
59,British Columbia,Colombie-Britannique,2022-07-25,2,80,,,,
35,Ontario,Ontario,2022-07-25,11,462,,,,
24,Quebec,Québec,2022-07-25,2,362,,,,
1,Canada,Canada,2022-07-25,15,924,,,,
59,British Columbia,Colombie-Britannique,2022-07-26,3,83,,,,
35,Ontario,Ontario,2022-07-26,6,468,,,,
24,Quebec,Québec,2022-07-26,1,363,,,,
1,Canada,Canada,2022-07-26,10,934,,,,
59,British Columbia,Colombie-Britannique,2022-07-27,3,86,,,,
35,Ontario,Ontario,2022-07-27,12,480,,,,
24,Quebec,Québec,2022-07-27,3,366,,,,
1,Canada,Canada,2022-07-27,18,952,,,,
59,British Columbia,Colombie-Britannique,2022-07-28,2,88,,,,
35,Ontario,Ontario,2022-07-28,4,484,,,,
24,Quebec,Québec,2022-07-28,3,369,,,,
1,Canada,Canada,2022-07-28,9,961,,,,
48,Alberta,Alberta,2022-07-29,1,16,,,,
59,British Columbia,Colombie-Britannique,2022-07-29,2,90,,,,
